Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
4.227928, (346.2, 11.8, 0.0), (347.0, 9.8, 0.0), (0.0, 0.0, 0.0), (-0.8, 1.1, 352.6)
4.227928, (346.2, 11.8, 0.0), (347.0, 9.8, 0.0), (0.0, 0.0, 0.0), (-0.8, 1.1, 352.6)
4.227928, (346.2, 11.8, 0.0), (347.0, 9.8, 0.0), (0.0, 0.0, 0.0), (-0.8, 1.1, 352.6)
4.231156, (346.2, 11.8, 0.0), (347.0, 9.8, 0.0), (0.0, 0.0, 0.0), (-0.8, 1.1, 352.6)
4.231156, (346.2, 11.8, 0.0), (347.0, 9.8, 0.0), (0.0, 0.0, 0.0), (-0.8, 1.1, 352.6)
4.231156, (346.2, 11.8, 0.0), (347.0, 9.8, 0.0), (0.0, 0.0, 0.0), (-0.8, 1.1, 352.6)
4.231156, (346.2, 11.8, 0.0), (347.0, 9.8, 0.0), (0.0, 0.0, 0.0), (-0.8, 1.1, 352.6)
4.234724, (346.2, 11.8, 0.0), (347.0, 9.8, 0.0), (0.0, 0.0, 0.0), (-0.8, 1.1, 352.6)
4.165167, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.6)
4.165167, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.6)
4.165167, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.6)
4.168216, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.167413, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.167413, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.167413, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.167413, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.167551, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.167551, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.167551, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.16434, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.16434, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
4.16434, (346.6, 11.7, 0.0), (347.2, 9.7, 0.0), (0.0, 0.0, 0.0), (-0.6, 1.1, 352.7)
