Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
14.03874, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 10.9)
14.03874, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 10.9)
14.03874, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 10.9)
14.02993, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.02993, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.02993, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.02056, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.02056, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.02056, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.02056, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.01223, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.01223, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.01223, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.00397, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.00397, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
14.00397, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
13.99772, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
13.99772, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
13.99772, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
13.99772, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
13.99196, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
13.99196, (315.3, 344.1, 0.0), (22.9, 20.8, 0.0), (0.0, 0.0, 0.0), (292.5, 323.0, 11.0)
2.676378, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.7)
2.679417, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.8)
2.679417, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.8)
2.679417, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.8)
2.684122, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.8)
2.684122, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.8)
2.684122, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.8)
2.684122, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.8)
2.688951, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.9)
2.688951, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.9)
2.688951, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.9)
2.694155, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.9)
2.694155, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.9)
2.694155, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.9)
2.694155, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 347.9)
2.699145, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.0)
2.699145, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.0)
2.699145, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.0)
2.70355, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.1)
2.70355, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.1)
2.70355, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.1)
2.708067, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.1)
2.708067, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.1)
2.708067, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.1)
2.708067, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.1)
2.711307, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.2)
2.711307, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.2)
2.711307, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.2)
2.713964, (359.9, 19.2, 0.0), (352.2, 7.6, 0.0), (0.0, 0.0, 0.0), (7.7, 10.4, 348.2)
2.596352, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.1)
2.596352, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.1)
2.599419, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.2)
2.601633, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.2)
2.601633, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.2)
2.601633, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.2)
2.602981, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.602981, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.602981, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.602981, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.604148, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.604148, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.604148, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.604989, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.604989, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.604989, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.605616, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.605616, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.605616, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.605616, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.6065, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.6065, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.6065, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.607434, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.607434, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.607434, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.607434, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.4)
2.609116, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.610865, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.610865, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.610865, (1.7, 19.0, 0.0), (353.5, 9.3, 0.0), (0.0, 0.0, 0.0), (-351.8, 8.4, 348.3)
2.525819, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.4)
2.526716, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.4)
2.526716, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.4)
2.526716, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.4)
2.52751, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.4)
2.52751, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.4)
2.52751, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.4)
2.52751, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.4)
2.528183, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.528183, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.528183, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.528306, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.528306, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.528306, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.528306, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.527869, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.527869, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.527869, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.526978, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.526978, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.526978, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.3)
2.525942, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.2)
2.525942, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.2)
2.525942, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.2)
2.525942, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.2)
2.525134, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.2)
2.525134, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.2)
2.525134, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.2)
2.524947, (4.4, 23.8, 0.0), (357.5, 11.7, 0.0), (0.0, 0.0, 0.0), (-353.0, 10.7, 344.2)
2.440468, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.440468, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.440468, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.440139, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.440139, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.440139, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.439838, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.439838, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.439838, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.439838, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.439445, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.439445, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.439445, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.437983, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.437983, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.437983, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.437983, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.438281, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.439253, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
2.439253, (6.4, 24.8, 0.0), (359.2, 13.5, 0.0), (0.0, 0.0, 0.0), (-352.7, 10.0, 343.0)
