Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
2.017562, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.4), (0.0, 0.0, 0.0)
2.017562, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.4), (0.0, 0.0, 0.0)
2.017562, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.4), (0.0, 0.0, 0.0)
2.017335, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.4), (0.0, 0.0, 0.0)
2.017335, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.4), (0.0, 0.0, 0.0)
2.017335, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.4), (0.0, 0.0, 0.0)
2.017335, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.4), (0.0, 0.0, 0.0)
2.016924, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.016924, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.016924, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017201, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017201, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017201, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017201, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017281, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017281, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017281, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017106, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017106, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.017106, (354.8, 2.8, 0.0), (353.7, 356.3, 0.0), (-1.1, 355.3, 355.5), (0.0, 0.0, 0.0)
2.020447, (354.9, 3.0, 0.0), (353.8, 356.2, 0.0), (-1.1, 355.0, 355.5), (0.0, 0.0, 0.0)
2.021361, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.5), (0.0, 0.0, 0.0)
2.021361, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.5), (0.0, 0.0, 0.0)
2.021361, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.5), (0.0, 0.0, 0.0)
2.021245, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.5), (0.0, 0.0, 0.0)
2.021245, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.5), (0.0, 0.0, 0.0)
2.021245, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.5), (0.0, 0.0, 0.0)
2.020878, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020878, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.021145, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.021145, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.021145, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020927, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020927, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020927, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020927, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020721, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020721, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
2.020721, (354.9, 2.9, 0.0), (353.9, 356.3, 0.0), (-1.0, 355.1, 355.4), (0.0, 0.0, 0.0)
