Target X,Target Y,Ofsset X, Offset Y
0,0,0.04466918,-0.001595327
0.5736432,0.6058269,0.03190658,-0.00558365
-0.7160577,-0.7660715,0.01834628,0.0223346
0.7693232,0.6003923,0.01914394,-0.008774305
-0.7262731,-0.291131,0.02153694,0.01515562
-0.3240857,0.745955,0.05822945,0.005583649
0.8648564,-0.6398101,-0.0335019,0.004785985
0.8216184,0.4151177,-0.02392993,0.001595328
0.6252489,-0.7657017,-0.03031125,0.001595328
0.7978588,0.1133218,-0.02073927,0.00398832
0.6620631,0.6145211,-0.0111673,0.00398832
0.670577,1.01428,-0.01435795,-0.01675094
-0.4867325,-0.8999968,-0.00398832,0.00957197
0.4866842,-0.5250272,-0.01515562,0.005583648
0.5834943,-0.1796155,-0.01515562,0.007976641
-0.592267,1.094475,0.0398832,-1.280569E-09
-0.2075582,0.9460207,0.02632292,0.006381314
0.8585979,0.5047687,-0.007178981,1.513399E-09
-0.7694968,-0.4987618,0.005583646,0.0223346
-0.5000311,-0.4930511,0.007178975,0.01196496
-0.5476007,-0.5814561,0.007178975,0.01196496
0.6778841,0.8989083,0.02153693,-0.01356029
-0.8314473,-0.4568911,-0.003988326,0.01515562
-0.4207181,0.556841,0.03110891,0.006381313
-0.4179235,0.636704,0.04466918,0.007178978
-0.4519382,-0.9785345,0.01914394,0.0111673
0.599192,0.5895845,0.006381313,-0.00957197
0.1672034,-0.03102255,0.005583651,-0.003190655
0.4952853,-0.8440461,0.01595328,-0.003190655
-0.3968205,-0.9309002,0.05743179,-0.008774306
-0.4906506,-0.7444034,0.0422762,-0.008774306
-0.4586577,-0.5520918,0.01356029,-0.007976642
0.4357501,-0.7823581,0.003190659,-0.002392992
-0.4900392,0.5393921,0.02712059,5.820766E-10
-0.8232664,0.4914362,0.02153694,0.006381314
-0.4894944,1.040031,0.03509723,0.006381314
0.4861791,0.1139297,-0.001595325,0.003190657
-0.478055,0.2703958,0.01036964,0.006381313
0.6314588,0.8750227,0.0007976647,-0.004785985
0.6731218,0.5801091,0.02153694,0.002392992
0.5805315,0.7702655,0.02153694,0.002392992
0.9065182,-0.6281695,-0.02951358,0.02073927
0.08832932,0.4738539,0.001595325,-0.0007976645
-0.8641772,-0.5759674,0.008774308,0.01515562
0.7794386,-0.4346133,-0.009571973,0.01036963
-0.6145756,-0.4629509,-0.005583653,0.0111673
-0.08343792,0.6498208,0.005583646,0.006381312
-0.4192761,-0.5149942,0.0199416,-0.002392994
0.6841269,-0.4201586,0.003988321,0
0.4401104,0.7513798,0.006381317,-0.01675094
0.09558058,0.5781735,0.0223346,-0.0007976673
0.4911116,-0.495247,-0.005583645,-0.0007976673
0.2646484,0.4974902,0.004785989,-0.003988324
0.1838597,-0.375205,0.0223346,0.007976644
