Depth,Target X,Target Y,Ofsset X, Offset Y
1.3,0,0,0.04466918,-0.001595327
1.3,0.5736432,0.6058269,0.03190658,-0.00558365
1.3,-0.7160577,-0.7660715,0.01834628,0.0223346
1.3,0.7693232,0.6003923,0.01914394,-0.008774305
1.3,-0.7262731,-0.291131,0.02153694,0.01515562
1.3,-0.3240857,0.745955,0.05822945,0.005583649
1.3,0.8648564,-0.6398101,-0.0335019,0.004785985
1.3,0.8216184,0.4151177,-0.02392993,0.001595328
1.3,0.6252489,-0.7657017,-0.03031125,0.001595328
1.3,0.7978588,0.1133218,-0.02073927,0.00398832
1.3,0.6620631,0.6145211,-0.0111673,0.00398832
1.3,0.670577,1.01428,-0.01435795,-0.01675094
1.3,-0.4867325,-0.8999968,-0.00398832,0.00957197
1.3,0.4866842,-0.5250272,-0.01515562,0.005583648
1.3,0.5834943,-0.1796155,-0.01515562,0.007976641
1.3,-0.592267,1.094475,0.0398832,-1.28E-09
1.3,-0.2075582,0.9460207,0.02632292,0.006381314
1.3,0.8585979,0.5047687,-0.007178981,1.51E-09
1.3,-0.7694968,-0.4987618,0.005583646,0.0223346
1.3,-0.5000311,-0.4930511,0.007178975,0.01196496
1.3,-0.5476007,-0.5814561,0.007178975,0.01196496
1.3,0.6778841,0.8989083,0.02153693,-0.01356029
1.3,-0.8314473,-0.4568911,-0.003988326,0.01515562
1.3,-0.4207181,0.556841,0.03110891,0.006381313
1.3,-0.4179235,0.636704,0.04466918,0.007178978
1.3,-0.4519382,-0.9785345,0.01914394,0.0111673
1.3,0.599192,0.5895845,0.006381313,-0.00957197
1.3,0.1672034,-0.03102255,0.005583651,-0.003190655
1.3,0.4952853,-0.8440461,0.01595328,-0.003190655
1.3,-0.3968205,-0.9309002,0.05743179,-0.008774306
1.3,-0.4906506,-0.7444034,0.0422762,-0.008774306
1.3,-0.4586577,-0.5520918,0.01356029,-0.007976642
1.3,0.4357501,-0.7823581,0.003190659,-0.002392992
1.3,-0.4900392,0.5393921,0.02712059,5.82E-10
1.3,-0.8232664,0.4914362,0.02153694,0.006381314
1.3,-0.4894944,1.040031,0.03509723,0.006381314
1.3,0.4861791,0.1139297,-0.001595325,0.003190657
1.3,-0.478055,0.2703958,0.01036964,0.006381313
1.3,0.6314588,0.8750227,0.000797665,-0.004785985
1.3,0.6731218,0.5801091,0.02153694,0.002392992
1.3,0.5805315,0.7702655,0.02153694,0.002392992
1.3,0.9065182,-0.6281695,-0.02951358,0.02073927
1.3,0.08832932,0.4738539,0.001595325,-0.000797665
1.3,-0.8641772,-0.5759674,0.008774308,0.01515562
1.3,0.7794386,-0.4346133,-0.009571973,0.01036963
1.3,-0.6145756,-0.4629509,-0.005583653,0.0111673
1.3,-0.08343792,0.6498208,0.005583646,0.006381312
1.3,-0.4192761,-0.5149942,0.0199416,-0.002392994
1.3,0.6841269,-0.4201586,0.003988321,0
1.3,0.4401104,0.7513798,0.006381317,-0.01675094
1.3,0.09558058,0.5781735,0.0223346,-0.000797667
1.3,0.4911116,-0.495247,-0.005583645,-0.000797667
1.3,0.2646484,0.4974902,0.004785989,-0.003988324
1.3,0.1838597,-0.375205,0.0223346,0.007976644
1.3,-0.1881917,-0.3158348,0.02073927,0.003190658
1.3,-0.2507839,0.1896153,0.01036963,-0.001595327
1.3,0.2551587,-0.2020676,0.003988321,0.004785986
1.3,-0.1544156,0.2984575,-0.01196496,3.49E-10
1.3,0.3517987,0.2689982,-0.006381313,0.003988321
1.3,0.388709,-0.3363739,-0.008774306,0.003988321
1.3,0.4610643,0.1672811,0.006381314,0.003988321
1.3,-0.1917375,0.1902539,0.006381314,0.003988321
1.3,0.2503469,-0.3441186,0.006381314,0.003988321
1.3,0.2740775,-0.122118,0.007976643,0.003988321
1.3,0.3356128,-0.1833953,-0.003190656,0.003988321
1.3,-0.2119825,0.2148955,-0.01356029,0.003988321
1.3,0.2300518,-0.3821618,-0.01356029,0.003988321
1.3,-0.2279311,-0.2600566,-0.003190656,0.01036964
1.3,0.3393404,9.63E-05,-0.01515562,0.003988321
1.3,-0.3688204,0.3817348,-0.02392993,0.01515562
1.3,0.276237,0.1196527,-0.03429957,0.0111673
1.3,0.193407,0.2809973,0.003190653,0.00159533
1.3,-0.1693534,0.9896284,0.01356028,1.28E-09
1.3,0.2071211,-0.1992852,0.003190654,0.001595329
1.3,-0.1793921,0.1847782,0.02392992,-0.000797664
1.3,0.2423296,0.3817172,0.01036963,-0.002392992
1.3,-0.2748587,-0.2254588,0.02951358,-0.008774305
1.3,0.5561562,0.2182378,0.008774301,-0.001595328
1.3,-0.2431836,-0.3257559,0.03669255,-0.01356029
1.3,0.3498354,0.1567507,0.003190652,-0.01036963
1.3,0.1795514,-0.1910107,0.02153693,-0.001595328
1.3,-0.3841899,-0.753418,0.05583647,0.001595329
1.3,-0.3566532,-0.3679166,0.03429957,0.000797665
1.3,-0.2334145,0.1909072,0.02791825,-0.001595328
1.3,-0.2383936,-0.286875,0.01914394,5.82E-10
