Depth Of Objectoin,Left Eye Rotation, Right Eye Rotation, Left Eye Rotational Correction, Right Eye Rotational Correctoin
3.502813, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.1, 348.3)
3.591682, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.1, 348.8)
3.638098, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.0, 349.2)
3.732936, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.0, 349.4)
3.786729, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.0, 349.5)
3.883551, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.0, 350.3)
3.917688, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.0, 350.9)
3.99411, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -0.9, 351.8)
4.034924, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -0.9, 352.1)
4.140436, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -0.9, 352.8)
4.191929, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -0.9, 353.6)
4.322162, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.9, 355.6)
4.411587, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.9, 356.5)
4.581038, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 357.5)
4.631287, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 357.0)
4.671071, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 355.8)
4.656153, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 355.4)
4.650817, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.7, 355.8)
4.680864, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.7, 356.0)
4.745039, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.7, 356.1)
4.750799, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.7, 356.0)
4.738758, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.7, 355.9)
4.731431, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.7, 355.7)
4.706372, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.7, 355.4)
4.674703, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.7, 355.2)
4.581605, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.7, 354.5)
4.51288, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.8, 354.2)
4.351765, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.8, 353.3)
4.261592, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.8, 352.9)
4.080977, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.9, 352.1)
3.994198, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.9, 351.7)
3.843976, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -0.9, 351.0)
3.774732, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.2, -1.0, 350.6)
3.653937, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -1.0, 349.7)
3.602738, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -1.0, 349.3)
3.509626, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -1.0, 348.4)
3.476541, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -1.1, 348.1)
3.434024, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -1.1, 347.3)
3.42145, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -1.1, 347.1)
3.408607, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -1.1, 346.9)
3.406639, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -1.1, 346.9)
